WKT	name	description
"POLYGON ((103.7058699 1.3797973, 103.70589 1.380036, 103.70589 1.3800212, 103.705882 1.3798911, 103.7058993 1.3801245, 103.7058284 1.3801563, 103.7054608 1.3805146, 103.7049459 1.3810227, 103.7048775 1.3810921, 103.7047662 1.3811669, 103.7047112 1.3812024, 103.7046837 1.3812145, 103.7046455 1.3812386, 103.7044738 1.3813116, 103.7042954 1.3813901, 103.7033231 1.3818017, 103.7022837 1.3822481, 103.7021497 1.3823045, 103.7020316 1.382346, 103.7018841 1.3823688, 103.7017554 1.3823822, 103.7015984 1.3823742, 103.7014242 1.3823591, 103.7012297 1.3823095, 103.7010781 1.3822509, 103.7009749 1.3822009, 103.7008837 1.3821436, 103.7007857 1.3820725, 103.7005484 1.381848, 103.7002976 1.3815952, 103.6996632 1.3809544, 103.6994567 1.3807546, 103.6993152 1.3806058, 103.699458 1.3804838, 103.6994419 1.3804167, 103.6994138 1.3803054, 103.6994017 1.3801714, 103.6993923 1.3799971, 103.6994165 1.3797812, 103.6994822 1.3795319, 103.6995318 1.3791538, 103.6996914 1.3790639, 103.6998322 1.3789808, 103.6999435 1.3788856, 103.7008206 1.3780356, 103.701577 1.3772848, 103.701636 1.3772298, 103.702214 1.376652, 103.7026096 1.3762525, 103.7031166 1.3758556, 103.7032091 1.375798, 103.7035176 1.3756746, 103.7039655 1.3755539, 103.7040915 1.3755379, 103.705434 1.3754132, 103.7054487 1.3755922, 103.7045086 1.3756719, 103.7042444 1.3756961, 103.7040124 1.3757269, 103.703771 1.3757832, 103.7035739 1.3758476, 103.7033862 1.3759331, 103.7031796 1.3760487, 103.7029798 1.3761868, 103.7028591 1.376286, 103.7026351 1.3765045, 103.7018224 1.3773009, 103.7012685 1.3778412, 103.7011076 1.3779967, 103.7000683 1.3790181, 103.7000079 1.3790318, 103.6999811 1.3791189, 103.7000736 1.3791015, 103.6999972 1.3791833, 103.6998711 1.3793294, 103.6997571 1.3795345, 103.6996029 1.3799274, 103.6995908 1.3801674, 103.6996284 1.3802237, 103.6997155 1.3806098, 103.6997477 1.3807063, 103.699796 1.3807841, 103.6998697 1.3809007, 103.7000602 1.3811085, 103.7001903 1.3812399, 103.7003753 1.3814209, 103.7006583 1.3817132, 103.7007361 1.3817869, 103.7008407 1.3818902, 103.7009051 1.3819505, 103.7009842 1.3820001, 103.7010727 1.3820484, 103.7011384 1.3820806, 103.7012162 1.3821194, 103.7012725 1.3821422, 103.7013557 1.3821637, 103.7014603 1.3821824, 103.7015783 1.3821945, 103.7016963 1.3821985, 103.7018425 1.3821985, 103.70199 1.3821824, 103.7027129 1.3818781, 103.7034974 1.3815309, 103.703712 1.3814451, 103.7042538 1.3812077, 103.704341 1.3811863, 103.7044791 1.3811273, 103.7045663 1.3810804, 103.7046562 1.3810294, 103.7047728 1.3809463, 103.7048506 1.3808712, 103.7052141 1.3805012, 103.70543 1.3802223, 103.7055064 1.3802036, 103.705548 1.3801714, 103.7055708 1.380099, 103.7058699 1.3797973))"	orange	ST Taxiway
"POLYGON ((103.7070118 1.3942228, 103.7069447 1.3942281, 103.7069269 1.3942125, 103.7068773 1.3941951, 103.7061799 1.3942567, 103.7059291 1.394297, 103.7057239 1.394364, 103.7055523 1.3944525, 103.7053927 1.3945463, 103.7052371 1.3946576, 103.7050976 1.3947836, 103.7049622 1.3949365, 103.7048965 1.3950223, 103.7044365 1.3959112, 103.7038263 1.3971258, 103.7032402 1.3982842, 103.7029733 1.3988285, 103.7026139 1.3995083, 103.702237 1.4002711, 103.7019192 1.4008812, 103.7018615 1.4010715, 103.7018454 1.4012163, 103.7018629 1.4013263, 103.701883 1.4014456, 103.7019326 1.4015555, 103.7020037 1.4016775, 103.7020815 1.401766, 103.7022035 1.4018585, 103.7022692 1.4018961, 103.7023497 1.4019363, 103.702803 1.4021307, 103.7034548 1.4024203, 103.703613 1.4024498, 103.7037713 1.4024578, 103.7039268 1.4024498, 103.7040623 1.4024243, 103.7041991 1.4023801, 103.7043091 1.4023238, 103.7044177 1.4022594, 103.7048173 1.4019805, 103.7057829 1.4013075, 103.706711 1.4006532, 103.7070932 1.4003931, 103.7071388 1.4003462, 103.7075183 1.4000539, 103.7076363 1.4002269, 103.7071428 1.4005661, 103.7063489 1.4011265, 103.7056341 1.4016226, 103.7054074 1.4017767, 103.7048616 1.4021656, 103.7044941 1.4024256, 103.7043546 1.4025021, 103.7042272 1.4025544, 103.7040851 1.4025959, 103.703955 1.4026187, 103.7038102 1.4026294, 103.7036205 1.4026284, 103.7034762 1.4025999, 103.703373 1.4025758, 103.7032456 1.4025289, 103.7022089 1.4020717, 103.7021016 1.4020073, 103.7019602 1.4018964, 103.7018682 1.4017902, 103.7017945 1.4016749, 103.7017314 1.4015435, 103.7017006 1.4014134, 103.7016818 1.4013075, 103.7016805 1.4011734, 103.7017019 1.4009978, 103.7017336 1.4008935, 103.701777 1.4007994, 103.7021445 1.400066, 103.7024436 1.3994748, 103.7029197 1.3985376, 103.70333 1.3977305, 103.7037954 1.3968094, 103.7041884 1.3960345, 103.7045209 1.3953682, 103.7047731 1.3949083, 103.7048436 1.3948081, 103.7049581 1.3946817, 103.7050748 1.3945664, 103.705221 1.3944444, 103.7053565 1.3943452, 103.7055295 1.3942554, 103.7057145 1.3941763, 103.7059224 1.3941186, 103.7061048 1.3940891, 103.7064749 1.3940529, 103.7068424 1.3940234, 103.7069913 1.39401, 103.7070118 1.3942228))"	orange	NT Taxiway
"POLYGON ((103.7070089 1.3942008, 103.7069888 1.3939514, 103.7070344 1.3939461, 103.7071028 1.3939179, 103.7071565 1.393879, 103.7072141 1.3938241, 103.7072557 1.3937503, 103.7072825 1.3936565, 103.7073026 1.3935975, 103.7073401 1.3940366, 103.7073804 1.3944703, 103.7073455 1.3944167, 103.7073053 1.394347, 103.7072316 1.3942652, 103.7071605 1.3942182, 103.7070894 1.3941968, 103.7070089 1.3942008))"	orange	W9
"POLYGON ((103.7112038 1.3994827, 103.7112921 1.3995521, 103.7113538 1.3995936, 103.7114477 1.3996285, 103.7116059 1.3996164, 103.7117373 1.3996084, 103.7118889 1.3995936, 103.7121115 1.3995762, 103.7122926 1.3995642, 103.7124776 1.3995293, 103.712597 1.3994837, 103.7127016 1.3994247, 103.7127995 1.3993362, 103.7128759 1.3992276, 103.7129349 1.3991405, 103.7129685 1.3990493, 103.7130007 1.3989662, 103.7130047 1.3988643, 103.712998 1.3987705, 103.7128679 1.3981014, 103.7127485 1.3973654, 103.7126533 1.396817, 103.7125487 1.3962539, 103.7124307 1.3956305, 103.7122912 1.394877, 103.7122443 1.3945834, 103.7122027 1.3943408, 103.7121866 1.3941933, 103.7121853 1.3941182, 103.7121839 1.3939868, 103.712192 1.3938715, 103.7122201 1.3937415, 103.7122537 1.3936074, 103.7122966 1.3934921, 103.7123945 1.3932843, 103.7127539 1.3924477, 103.7130087 1.3918832, 103.7132608 1.3913456, 103.713297 1.3912518, 103.7133493 1.3911391, 103.7133909 1.3910426, 103.7134218 1.390934, 103.7134486 1.3908375, 103.713466 1.390749, 103.71347 1.3906552, 103.71347 1.3905412, 103.7134607 1.3904205, 103.7134312 1.3903119, 103.7133976 1.3901899, 103.7132595 1.3899419, 103.7131455 1.389785, 103.7130288 1.3896483, 103.7125648 1.3892863, 103.7124924 1.3892286, 103.7121303 1.3890812, 103.7120565 1.3890664, 103.7105853 1.3891965, 103.710521 1.3892139, 103.71047 1.3892447, 103.7104204 1.389289, 103.7103815 1.3888586, 103.7104163 1.3888573, 103.7104311 1.3889337, 103.7104633 1.3889994, 103.710529 1.3890155, 103.7118929 1.3888921, 103.712082 1.3888465, 103.7121973 1.3887969, 103.7123314 1.3887272, 103.7124092 1.3886749, 103.7124964 1.3886065, 103.7126373 1.3887144, 103.7125622 1.3888149, 103.712538 1.3888873, 103.7125394 1.3889731, 103.7125771 1.3890399, 103.7126549 1.389115, 103.7132622 1.3896636, 103.7134246 1.3898953, 103.7135492 1.3901543, 103.7136097 1.3904101, 103.7136257 1.3906477, 103.7136042 1.3908676, 103.7135574 1.3910389, 103.7135105 1.3911743, 103.7134126 1.3913888, 103.7130532 1.3921866, 103.7127541 1.3928516, 103.7124792 1.3934643, 103.7124108 1.3936225, 103.7123719 1.3937512, 103.7123397 1.3938919, 103.712333 1.393971, 103.712329 1.3941105, 103.712341 1.3942486, 103.7124497 1.3948492, 103.7127273 1.3963749, 103.7129378 1.3975668, 103.7131537 1.3987668, 103.7131496 1.3989534, 103.7131174 1.3990834, 103.7130867 1.3991676, 103.7130424 1.3992575, 103.7129982 1.3993339, 103.7129606 1.3993754, 103.7128882 1.3994586, 103.7127915 1.3995728, 103.7126522 1.3996463, 103.7125127 1.3996999, 103.7123115 1.3997347, 103.7118958 1.399775, 103.7116383 1.3997964, 103.711233 1.3998423, 103.7112038 1.3994827))"	orange	NY Taxiway + E9 and E10
"POLYGON ((103.7126554 1.3887275, 103.7124964 1.3886065, 103.7126375 1.3884592, 103.7128843 1.3881468, 103.7131619 1.3877405, 103.7132812 1.3876373, 103.7136058 1.3873839, 103.7139813 1.3872163, 103.7142294 1.3871479, 103.7143353 1.3871372, 103.7147564 1.387089, 103.715305 1.3870367, 103.715383 1.387025, 103.7155517 1.3869683, 103.7157474 1.3868713, 103.715895 1.3867672, 103.7160224 1.3866371, 103.7161686 1.3864588, 103.7162343 1.3863207, 103.7162947 1.3861813, 103.7163376 1.386015, 103.7163591 1.3858247, 103.716351 1.385649, 103.7163309 1.3855404, 103.7162987 1.3854064, 103.7162276 1.3852334, 103.7161659 1.3851074, 103.7160426 1.3849532, 103.7159581 1.384858, 103.7158602 1.3847722, 103.7147529 1.3840015, 103.7136796 1.383276, 103.7137385 1.3831915, 103.7137962 1.3831231, 103.7141583 1.3833819, 103.7149469 1.3839302, 103.7158682 1.3845617, 103.7160399 1.3846904, 103.7162263 1.3848888, 103.7163497 1.3850739, 103.7164945 1.385456, 103.716528 1.3856651, 103.7165227 1.3858944, 103.7164891 1.3861236, 103.7164409 1.3862684, 103.7163403 1.386491, 103.7162585 1.3866143, 103.7161257 1.3867645, 103.7159822 1.3869026, 103.7158669 1.3870072, 103.7157019 1.3871037, 103.7154417 1.3871895, 103.7149777 1.38727, 103.7145673 1.3872793, 103.7143715 1.3873276, 103.7141892 1.3873879, 103.7141186 1.3873654, 103.7139706 1.3874107, 103.7137828 1.3874992, 103.7136058 1.3876145, 103.7134663 1.3877245, 103.7133429 1.3878505, 103.7126554 1.3887275))"	orange	CY Taxiway
"POLYGON ((103.7042024 1.3963716, 103.7043727 1.3960378, 103.70437 1.3961222, 103.7043861 1.3961692, 103.7044183 1.3961987, 103.7044665 1.3962228, 103.7043955 1.3963689, 103.7043043 1.3963341, 103.7042587 1.3963435, 103.7042024 1.3963716))"	orange	NT2 Taxi-Out
"POLYGON ((103.7039972 1.3967779, 103.7041568 1.3964574, 103.7041648 1.3965084, 103.7041782 1.3965513, 103.7042117 1.3965901, 103.7042949 1.3966357, 103.7042198 1.396798, 103.7041487 1.3967604, 103.704091 1.396743, 103.7040468 1.3967537, 103.7039972 1.3967779))"	orange	NT2 Taxi-in
"POLYGON ((103.7033119 1.398139, 103.7038263 1.3971258, 103.7038175 1.3972072, 103.7038189 1.3972971, 103.703847 1.3973494, 103.703902 1.3974392, 103.7039973 1.3974754, 103.7046705 1.3978267, 103.7044519 1.3982409, 103.7044814 1.3982584, 103.7043875 1.3984367, 103.7041957 1.3983428, 103.7042172 1.3983174, 103.7036043 1.3979889, 103.7035601 1.3979862, 103.7034876 1.3980023, 103.7034152 1.3980304, 103.7033696 1.3980814, 103.7033119 1.398139))"	orange	NT3
"POLYGON ((103.7026246 1.3994757, 103.7030712 1.3986177, 103.7030739 1.3986579, 103.7030873 1.3987289, 103.7031141 1.3987786, 103.703149 1.3988322, 103.7043493 1.3994543, 103.7040153 1.4000656, 103.7038316 1.3999718, 103.7038544 1.3999262, 103.702866 1.3994368, 103.7027882 1.3994368, 103.7027104 1.399457, 103.7026246 1.3994757))"	orange	NT4
"POLYGON ((103.7024378 1.3998737, 103.7024203 1.3999716, 103.7024109 1.4000239, 103.7024257 1.4001151, 103.702537 1.4002357, 103.7035133 1.4007291, 103.7034342 1.400886, 103.7033309 1.4008337, 103.7031324 1.4012037, 103.7021923 1.4007305, 103.7020985 1.4007425, 103.702022 1.4007747, 103.7019764 1.4008203, 103.701912 1.400898, 103.7024378 1.3998737))"	orange	NT5
