WKT,name,description
"POLYGON ((104.003794 1.335154, 104.00353 1.33458, 104.003703 1.334329, 104.004818 1.33517, 104.004877 1.335186, 104.004904 1.335159, 104.004917 1.335116, 104.005596 1.336693, 104.005523 1.33658, 104.005362 1.336307, 104.005266 1.336175, 104.005126 1.33598, 104.005016 1.335856, 104.004708 1.335505, 104.004386 1.33524, 104.004252 1.33513, 104.004174 1.335089, 104.004125 1.335066, 104.004071 1.335054, 104.003989 1.335056, 104.003899 1.335075, 104.003794 1.335154))",RED,Polygon 16
"POLYGON ((104.00534 1.338868, 104.005209 1.338523, 104.005378 1.338285, 104.006526 1.339147, 104.006561 1.339128, 104.006596 1.339064, 104.006887 1.339764, 104.006714 1.339823, 104.006513 1.339599, 104.00627 1.339362, 104.005713 1.338933, 104.005627 1.33887, 104.005558 1.338831, 104.005482 1.338824, 104.005417 1.338831, 104.00534 1.338868))",RED,Polygon 2
"POLYGON ((104.006714 1.339823, 104.006887 1.339764, 104.00718 1.340446, 104.007168 1.340432, 104.007118 1.340422, 104.007086 1.34043, 104.007059 1.340469, 104.006889 1.341856, 104.006603 1.341823, 104.006348 1.341234, 104.006403 1.341229, 104.006463 1.341208, 104.006513 1.341189, 104.006582 1.341142, 104.006659 1.341044, 104.006704 1.340911, 104.006753 1.340279, 104.006746 1.339979, 104.006714 1.339823))",RED,Polygon 17
"POLYGON ((104.00803 1.3452, 104.008186 1.345153, 104.008264 1.345088, 104.008334 1.344954, 104.008368 1.344839, 104.008403 1.344595, 104.008422 1.34419, 104.008417 1.34385, 104.00839 1.343449, 104.00833 1.343178, 104.008856 1.344393, 104.008776 1.344372, 104.008717 1.344457, 104.008548 1.345814, 104.008281 1.345777, 104.00803 1.3452))",RED,Polygon 18
"POLYGON ((104.009692 1.34916, 104.009826 1.349109, 104.009899 1.349058, 104.009998 1.348959, 104.010057 1.348731, 104.010081 1.348208, 104.010054 1.347808, 104.010003 1.347406, 104.009947 1.347127, 104.009849 1.346775, 104.010508 1.34833, 104.010517 1.348354, 104.010424 1.34835, 104.0104 1.348422, 104.010194 1.349777, 104.009943 1.349748, 104.009692 1.34916))",RED,Polygon 19
"POLYGON ((104.01243 1.355038, 104.012274 1.3547, 104.012465 1.354652, 104.012658 1.354566, 104.012776 1.354518, 104.012862 1.354446, 104.012921 1.354336, 104.012942 1.354234, 104.012948 1.354129, 104.013302 1.354963, 104.013181 1.354845, 104.01306 1.354805, 104.012932 1.354794, 104.0128 1.354832, 104.012634 1.354904, 104.01243 1.355038))",RED,Polygon 20
"POLYGON ((104.012917 1.356121, 104.012888 1.356134, 104.01275 1.355799, 104.012919 1.355759, 104.013109 1.355679, 104.013273 1.355588, 104.013372 1.35548, 104.01341 1.355325, 104.013415 1.355218, 104.01365 1.355784, 104.013019 1.356052, 104.012917 1.356121))",RED,Polygon 21
"POLYGON ((104.0131781 1.3568526, 104.013188 1.356849, 104.013228 1.35681, 104.013282 1.35675, 104.013325 1.356679, 104.013674 1.355823, 104.01365 1.355784, 104.014074 1.355596, 104.0135 1.357014, 104.013436 1.357095, 104.013382 1.357146, 104.0133245 1.3571873, 104.013254 1.3570219, 104.0131781 1.3568526))",RED,Polygon 22
"POLYGON ((103.999319 1.322011, 103.999901 1.32176, 104.000104 1.322247, 104.00001 1.322289, 103.999319 1.322011))",RED,Polygon 24
"POLYGON ((104.013822 1.3562, 104.014074 1.355596, 104.014154 1.355559, 104.01467 1.356832, 104.014174 1.357034, 104.013822 1.3562))",RED,Polygon 25
"POLYGON ((103.999599 1.322469, 104.000082 1.322256, 104.014154 1.355559, 104.01365 1.355784, 103.999599 1.322469))",RED,RWY 3
"POLYGON ((104.01414 1.357114, 104.01422 1.357146, 104.017008 1.363662, 104.016887 1.363721, 104.01414 1.357114))",CYAN,BARRIER 3
"POLYGON ((104.014556 1.359269, 104.014553 1.359293, 104.014451 1.359071, 104.014494 1.359054, 104.014494 1.35902, 104.01461 1.358969, 104.014685 1.359135, 104.014741 1.35914, 104.014725 1.359215, 104.014556 1.359269))",CYAN,NORTHERN GLIDESCOPE
"POLYGON ((104.003175 1.324966, 104.003256 1.324934, 104.003953 1.326601, 104.003974 1.326639, 104.004009 1.326644, 104.004036 1.326636, 104.004063 1.326698, 104.003996 1.326706, 104.003953 1.32669, 104.003899 1.326639, 104.00387 1.326575, 104.003175 1.324966))",CYAN,OTHERS
"POLYGON ((104.00308 1.324698, 104.000267 1.318043, 104.000324 1.31801, 104.003143 1.324675, 104.00308 1.324698))",CYAN,SOUTHERN PERIMETER ROAD
"POLYGON ((103.996088 1.314608, 103.996381 1.31448, 103.996349 1.314499, 103.996322 1.314523, 103.996306 1.314547, 103.996312 1.314625, 103.997086 1.316553, 103.997882 1.318466, 103.999191 1.321548, 103.999132 1.321571, 103.998049 1.319005, 103.996252 1.314725, 103.996224 1.314658, 103.996189 1.314605, 103.996136 1.314601, 103.996088 1.314608))",CYAN,REP HUT LANE
"POLYGON ((103.997655 1.319686, 103.997603 1.319552, 103.997764 1.319482, 103.997834 1.319642, 103.997716 1.319694, 103.997697 1.319659, 103.997655 1.319686))",CYAN,SOUTHERN LOCALIZER
"POLYGON ((103.997133 1.316206, 103.997291 1.316148, 103.99733 1.316128, 103.997398 1.316102, 103.997469 1.316086, 103.997609 1.316081, 103.997735 1.316085, 103.997804 1.3161, 103.997873 1.31612, 103.99794 1.316147, 103.998008 1.316171, 103.998058 1.316196, 103.998133 1.316245, 103.998204 1.316298, 103.998278 1.316373, 103.998322 1.316428, 103.998389 1.316529, 103.998442 1.316632, 103.999862 1.320021, 103.999879 1.321704, 103.999827 1.321706, 103.999814 1.32002, 103.999067 1.318274, 103.998383 1.316621, 103.998338 1.316544, 103.998304 1.316479, 103.99824 1.3164, 103.998162 1.31632, 103.998032 1.316232, 103.997957 1.316192, 103.997841 1.316153, 103.997729 1.316129, 103.997477 1.316137, 103.997341 1.316161, 103.997274 1.31619, 103.997149 1.316245, 103.997133 1.316206))",CYAN,SOUTH LANE 2
"POLYGON ((103.997636 1.321876, 103.995855 1.317655, 103.995839 1.31762, 103.99582 1.317521, 103.995802 1.317419, 103.995802 1.317341, 103.995807 1.317242, 103.995837 1.317145, 103.995855 1.317073, 103.995888 1.317017, 103.995922 1.316931, 103.995949 1.316891, 103.99599 1.316826, 103.996051 1.316762, 103.996083 1.316714, 103.996145 1.316673, 103.996191 1.316633, 103.996268 1.316582, 103.996319 1.31655, 103.99673 1.316376, 103.996749 1.316416, 103.996333 1.3166, 103.996222 1.316667, 103.996176 1.316688, 103.99614 1.316727, 103.996083 1.316779, 103.996036 1.316833, 103.996008 1.31687, 103.995968 1.316938, 103.995929 1.317006, 103.995906 1.317073, 103.995869 1.317174, 103.995851 1.31725, 103.995835 1.317358, 103.995851 1.317455, 103.995863 1.317542, 103.995902 1.317618, 103.997683 1.321856, 103.997636 1.321876))",CYAN,SOUTH LANE 1
"POLYGON ((104.016001 1.35836, 104.016053 1.358342, 104.018164 1.363242, 104.018017 1.363296, 104.016001 1.35836))",CYAN,NORTH LANE 2
